Player,Rating,Average Combat Score,Kills:Deaths,Average Damage Per Round,Headshot %,Clutch Success %,Teams,ACS Percentile,K/D Percentile,ADR Percentile,Headshot Percentile,Average Percentile
Flickless,1.0,191.1,1.0,125.3,27.3,31.9,GIANTX,50.7,46.8,48.2,41.5,45.1
Foxy9,0.7,140.0,0.7,81.7,26.7,33.0,Gen.G,0.7,3.9,0.4,35.2,2.5
Francis,1.0,215.9,1.0,135.7,21.4,26.5,Nongshim RedForce,85.2,45.1,76.1,6.7,53.9
GLYPH,1.0,181.7,0.9,114.6,24.5,23.5,Gentle Mates,34.2,37.7,21.8,18.0,19.0
GREEN,0.8,186.2,0.9,118.9,29.8,,Nova Esports,41.5,21.8,32.0,65.5,33.5
Governor,0.7,148.5,0.6,99.6,25.4,19.7,KRÜ Esports,2.8,2.1,3.5,25.4,1.8
GuanG,0.9,182.9,0.9,115.7,30.8,,Nova Esports,36.3,26.8,23.6,75.7,34.5
HYUNMIN,1.0,220.8,1.1,147.5,29.0,19.7,KIWOOM DRX,90.1,71.8,94.7,58.1,88.0
Haodong,0.9,174.3,1.0,115.9,30.6,,Titan Esports Club,23.9,43.0,24.3,72.9,35.6
Hermes,0.8,167.6,0.9,109.1,26.7,29.1,KIWOOM DRX,15.1,19.4,11.3,34.9,10.6
Inspire,1.1,201.4,1.2,135.2,33.1,19.5,ENVY,64.8,90.8,73.6,86.3,89.1
Ivy,1.0,188.5,1.1,125.5,33.7,31.0,Nongshim RedForce,45.8,77.1,50.4,88.0,70.4
Izzy,0.9,193.9,1.0,125.0,25.3,18.6,Eternal Fire,55.3,51.8,47.2,25.0,41.2
Jackk,1.0,177.3,0.9,127.1,30.4,12.8,Cloud9,27.8,31.0,53.2,71.1,43.7
Jamppi,1.0,187.1,1.0,120.2,28.4,45.8,Team Vitality,42.6,62.3,35.2,52.8,47.7
Jemkin,1.1,223.1,1.3,142.4,29.0,32.1,Rex Regum Qeon,91.9,97.5,88.7,59.0,94.0
Jerrwin,0.8,195.8,0.9,124.4,16.6,,Sentinels,58.3,27.1,45.4,1.1,26.1
JessieVash,0.9,166.2,0.8,113.2,27.1,37.0,Team Secret,14.1,13.7,19.4,38.0,12.1
Jieni7,0.9,184.3,1.0,121.1,27.1,24.8,EDward Gaming,39.4,53.5,37.3,39.4,37.7
Jinggg,1.1,217.5,1.2,143.9,25.5,37.0,Paper Rex,87.3,90.5,90.5,26.4,83.8
JitBoyS,0.9,189.9,1.0,124.4,27.9,35.3,FULL SENSE,48.2,48.9,45.1,48.6,45.8
JonahP,0.8,173.9,0.8,122.1,24.2,22.3,Sentinels,22.9,15.5,39.8,15.8,14.8
K1ra,1.0,201.5,1.0,128.9,25.3,21.9,All Gamers,65.1,58.5,56.7,23.9,51.2
KROSTALY,0.9,168.1,0.9,112.1,30.1,29.0,FUT Esports,16.2,25.4,17.6,68.0,24.6
Kai,1.0,213.8,1.1,141.9,31.9,,Trace Esports,83.5,72.2,88.0,81.0,91.5
Karon,1.1,208.5,1.1,140.7,28.9,25.5,Gen.G,78.2,81.7,86.3,56.7,86.1
KiTae,0.7,151.7,0.6,98.7,28.0,12.2,Gen.G,4.2,1.4,2.8,49.8,5.6
Kicks,1.0,165.0,1.0,114.0,27.2,44.5,Team Liquid,13.0,43.7,20.8,40.5,21.8
Killua,1.0,192.0,1.0,125.1,35.5,36.6,FULL SENSE,52.5,64.4,47.5,92.6,68.3
Klaus,0.9,180.3,0.9,118.2,32.8,28.1,VARREL,31.3,35.6,30.3,85.6,43.1
Knight,1.0,175.7,1.0,120.6,26.4,,Bilibili Gaming,25.7,59.3,36.3,32.4,31.3
Kolosha,0.6,148.4,0.6,104.6,26.9,,Natus Vincere,2.5,0.4,6.7,37.0,3.9
KovaQ,0.9,191.1,0.9,128.6,27.2,,FunPlus Phoenix,51.1,38.0,55.6,40.1,44.4
Kr1stal,1.0,193.8,1.1,129.7,28.0,29.2,Global Esports,54.6,75.7,58.1,49.8,63.0
Kushy,1.0,180.5,1.0,121.6,31.8,21.8,Rex Regum Qeon,31.7,44.0,38.7,79.9,48.9
Kyu,0.9,175.8,0.9,113.2,21.6,31.7,Sentinels,26.1,28.9,19.7,7.4,11.3
Lakia,0.9,170.9,0.8,115.6,22.6,21.6,Gen.G,19.2,8.8,23.2,10.2,6.3
Lar0k,1.0,215.2,1.1,140.3,28.5,39.4,BBL Esports,84.9,76.8,85.2,53.9,85.2
