Player,Rating,Average Combat Score,Kills:Deaths,Average Damage Per Round,Headshot %,Clutch Success %,Teams,ACS Percentile,K/D Percentile,ADR Percentile,Headshot Percentile,Average Percentile
Magic,1.0,233.4,1.2,149.4,17.8,24.4,INGAMING Esports,88.3,81.9,89.0,15.7,75.9
Magic0,1.0,239.3,1.2,154.7,21.7,6.3,Elementals,90.9,81.8,93.1,39.7,86.2
Magnitude,,198.5,0.9,130.7,21.1,6.5,RARE Esports,56.6,41.0,62.6,36.4,48.9
Maka,1.0,207.1,1.1,130.1,20.0,7.5,Six Karma,66.4,72.3,61.3,27.7,59.6
Manic Man,1.0,216.0,0.8,141.0,8.0,13.0,SE Necrosis,75.8,33.3,78.7,0.3,45.2
MannFlame,0.9,215.7,0.9,150.0,22.7,0.0,Bi eSports,75.5,38.2,89.6,47.7,67.6
Maple,1.1,182.8,1.1,126.3,22.7,39.6,ORDER,38.4,70.3,53.7,48.2,54.0
MarTy,1.0,148.0,0.9,98.0,25.0,0.0,Bi eSports,9.2,47.4,11.0,64.8,25.9
Marco,0.9,175.7,0.9,110.3,26.0,11.3,Team WaVii,31.3,49.9,25.7,72.4,41.6
Marved,1.1,201.8,1.1,131.2,29.5,16.8,Envy,60.9,71.1,63.3,88.1,79.3
Marzil,1.0,217.6,1.0,143.6,21.6,0.0,Velocity Gaming,77.4,55.1,82.9,39.4,69.2
Mast3r,0.6,130.3,0.5,94.0,18.7,10.3,True Rippers,3.5,3.6,7.9,20.9,3.4
Mavera,,146.0,0.6,102.1,18.2,7.6,Oxygen Esports,8.2,9.8,15.0,18.5,5.0
Maxi,1.1,219.0,1.0,150.0,21.3,0.0,Alterfox Esports,78.5,57.3,89.6,37.5,72.0
Mazino,1.1,225.0,1.2,142.1,23.1,18.9,KRÜ Esports,83.0,82.5,80.0,50.9,84.3
McSalad,0.8,187.3,0.7,123.3,14.3,0.0,Tenacity,44.6,20.3,48.2,3.8,21.1
Meddo,1.1,209.6,1.2,130.7,28.1,15.0,Giants Gaming,69.1,88.5,62.5,83.5,85.8
Medusa,1.0,207.0,1.1,132.4,26.6,16.5,Crazy Raccoon,66.2,76.6,65.7,76.0,79.9
Meiy,1.0,209.1,1.0,132.8,24.2,12.7,NORTHEPTION,68.1,67.7,66.4,59.2,71.6
Melser,1.1,204.6,1.3,130.6,25.0,30.6,Australs,63.8,91.6,62.2,63.7,78.3
Memaraz,0.9,213.4,1.0,124.6,19.1,28.9,Regal E-Sports,73.7,67.2,50.7,23.3,55.4
MenT,0.9,177.0,0.8,121.0,22.5,3.8,Psycho Family,32.6,34.3,43.7,46.2,34.0
Mercyless,1.0,208.0,1.1,131.0,20.0,23.0,PN Crew,67.2,75.8,62.9,28.5,62.1
Messiiii,0.8,195.4,0.9,128.7,25.6,8.0,Team Novas,53.0,44.2,58.6,68.9,58.4
Minimise,1.0,209.3,1.1,137.3,21.5,0.0,Nebula,68.5,69.5,73.2,38.1,66.7
Minty,1.0,208.9,1.1,132.7,23.5,15.5,Crazy Raccoon,67.8,70.2,66.3,54.4,70.9
Misaya,0.6,137.0,0.6,84.0,14.5,17.5,Feeling,5.3,6.4,4.1,4.1,1.4
Mistic,1.1,183.5,1.1,114.5,28.7,11.6,FNATIC,39.8,79.5,31.9,85.5,63.0
Mited,0.9,214.7,1.0,136.9,22.1,6.8,Six Karma,74.7,57.6,72.6,42.9,66.2
Mixmeha,,140.4,0.6,88.0,25.6,19.8,GMT Esports,6.0,7.0,5.1,69.2,12.5
Mixwell,0.9,188.3,0.9,124.1,22.4,9.5,G2 Esports,45.9,47.8,50.0,45.6,46.0
MkaeL,,190.0,1.0,133.7,19.5,17.0,Gen.G,47.4,64.4,68.1,25.0,52.1
Mo Cuishle,0.4,111.0,0.4,63.0,22.0,0.0,GLADIATORS,1.5,1.3,0.7,42.3,4.6
Moh,1.1,219.2,1.2,145.0,28.0,14.0,Piercer Esports,78.7,87.1,85.2,83.1,93.1
Monyet,1.1,259.8,1.1,160.2,24.0,7.0,ONIC G,97.2,77.8,96.3,57.7,92.2
